;times;auc;iauc;model;fold
9;10;0.643026394;0.63171348;rsf;0
10;11;0.640057547;0.63171348;rsf;0
11;12;0.669009568;0.63171348;rsf;0
12;13;0.695567383;0.63171348;rsf;0
13;14;0.66464662;0.63171348;rsf;0
14;15;0.678816206;0.63171348;rsf;0
15;16;0.703324395;0.63171348;rsf;0
16;17;0.72261346;0.63171348;rsf;0
17;18;0.731143781;0.63171348;rsf;0
18;19;0.711673259;0.63171348;rsf;0
19;20;0.733633746;0.63171348;rsf;0
20;21;0.737488467;0.63171348;rsf;0
21;22;0.712685253;0.63171348;rsf;0
22;23;0.705031829;0.63171348;rsf;0
23;24;0.703845026;0.63171348;rsf;0
24;25;0.711443741;0.63171348;rsf;0
25;26;0.685089942;0.63171348;rsf;0
26;27;0.683205209;0.63171348;rsf;0
27;28;0.682315066;0.63171348;rsf;0
28;29;0.674035913;0.63171348;rsf;0
29;30;0.66375821;0.63171348;rsf;0
30;31;0.658403516;0.63171348;rsf;0
31;32;0.656635744;0.63171348;rsf;0
32;33;0.647433387;0.63171348;rsf;0
33;34;0.662714692;0.63171348;rsf;0
34;35;0.674015491;0.63171348;rsf;0
35;36;0.665922686;0.63171348;rsf;0
36;37;0.656021472;0.63171348;rsf;0
37;38;0.661258931;0.63171348;rsf;0
38;39;0.63802713;0.63171348;rsf;0
39;40;0.65655531;0.63171348;rsf;0
40;41;0.652038787;0.63171348;rsf;0
41;43;0.647941882;0.63171348;rsf;0
42;50;0.59204106;0.63171348;rsf;0
43;57;0.579003442;0.63171348;rsf;0
44;64;0.6077666;0.63171348;rsf;0
45;71;0.546606466;0.63171348;rsf;0
0;1;0.574141049;0.729675509;rsf;1
1;2;0.588180198;0.729675509;rsf;1
2;3;0.575957893;0.729675509;rsf;1
3;4;0.506198441;0.729675509;rsf;1
4;5;0.647858719;0.729675509;rsf;1
5;6;0.657942712;0.729675509;rsf;1
6;7;0.669761347;0.729675509;rsf;1
7;8;0.670585604;0.729675509;rsf;1
8;9;0.674127494;0.729675509;rsf;1
9;10;0.692800332;0.729675509;rsf;1
10;11;0.670687917;0.729675509;rsf;1
11;12;0.677263835;0.729675509;rsf;1
12;13;0.692133244;0.729675509;rsf;1
13;14;0.694119316;0.729675509;rsf;1
14;15;0.691678417;0.729675509;rsf;1
15;16;0.712829901;0.729675509;rsf;1
16;17;0.713674082;0.729675509;rsf;1
17;18;0.719349194;0.729675509;rsf;1
18;19;0.714952794;0.729675509;rsf;1
19;20;0.724415441;0.729675509;rsf;1
20;21;0.718262254;0.729675509;rsf;1
21;22;0.725504214;0.729675509;rsf;1
22;23;0.726374316;0.729675509;rsf;1
23;24;0.711378686;0.729675509;rsf;1
24;25;0.71454617;0.729675509;rsf;1
25;26;0.696362722;0.729675509;rsf;1
26;27;0.697997675;0.729675509;rsf;1
27;28;0.697543367;0.729675509;rsf;1
28;29;0.712105041;0.729675509;rsf;1
29;30;0.733656535;0.729675509;rsf;1
30;31;0.727151937;0.729675509;rsf;1
31;32;0.721652617;0.729675509;rsf;1
32;33;0.721023932;0.729675509;rsf;1
33;34;0.708932987;0.729675509;rsf;1
34;35;0.704926811;0.729675509;rsf;1
35;36;0.711773294;0.729675509;rsf;1
36;37;0.702826659;0.729675509;rsf;1
37;38;0.735339576;0.729675509;rsf;1
38;39;0.728533823;0.729675509;rsf;1
39;40;0.724916203;0.729675509;rsf;1
40;41;0.725090541;0.729675509;rsf;1
41;43;0.785331995;0.729675509;rsf;1
42;50;0.781931878;0.729675509;rsf;1
